sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
125933,PIERRE RECTANGULAR DINING TABLE,Interlude Home,Furniture > Dining > Dining Tables,8828,17656,A luxe Carrara white marble top plays off a sculptural stainless steel base in an antique bronze finish to create the striking Pierre Rectangular Dining Table.,"125933-1,125933-2,125933-3","42""D","94""W","30""H"
125932,RYANE DINING TABLE,Interlude Home,Furniture > Dining > Dining Tables,5199,10398,"Crafted in glass and acrylic, the simple forms of the Ryane Dining Table add a sophisticated elegance to any living space.","125932-1,125932-2,125932-3,125932-4","42""D","94""W","30""H"
188194,MILA BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,1721,3442,A chic metal frame in an antique brass finish pairs with a faux linen surface in natural white to transform the Mila Bedside Chest into a stunning storage piece.,"188194-1,188194-2,188194-3,188194-4","19""D","27""W","24""H"
188189,THEO BEDSIDE TABLE,Interlude Home,Furniture > Bedroom > Chests,1628,3256,"The epitome of sophisticated style, the Theo Bedside Table dazzles with eye-catching geometric shapes, natural white faux linen with contrasting smooth lacquer and elegant champagne silver metal hardware.","188189-1,188189-2,188189-3,188189-4","18""D","26""W","26""H"
188157,MONTAIGNE BEDSIDE CHEST - GREY,Interlude Home,Furniture > Bedroom > Chests,1282,2564,"The Montaigne Bedside Chest is anything but sleepy thanks to the fabulous texture of light grey faux linen and the chic, clean line of an antique brass metal pull.","188157-1,188157-2,188157-3","18 ""D","32""W","21""H"
188156,MONTAIGNE BEDSIDE CHEST - WHITE,Interlude Home,Furniture > Bedroom > Chests,1282,2564,"The Montaigne Bedside Chest is anything but sleepy thanks to the fabulous texture of white faux linen and the chic, clean line of an antique brass metal pull.","188156-1,188156-2,188156-3","18 ""D","32""W","21""H"
188155,CREED OCCASIONAL CHEST,Interlude Home,Furniture > Bedroom > Chests,2506,5012,"Crafted of taupe ceruse oak and boasting capsule-shaped iron hardware in an antique brass finish, the Creed Occasional Chest adds sophistication to any bedroom.","188155-1,188155-2,188155-3,188155-4","18""D","36""W","32""H"
188154,CREED BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,1480,2960,"Crafted of taupe ceruse oak and boasting capsule-shaped iron hardware in an antique brass finish, the Creed Bedside Chest adds sophistication to any bedroom.","188154-1,188154-2,188154-3,188154-4","18""D","26""W","24""H"
188144,MORAND 3 DRAWER CHEST - GREY,Interlude Home,Furniture > Bedroom > Chests,2274,4548,"Featuring sorrel grey sharkskin faux shagreen and antique brass-finished metal hardware, the Morand 3-Drawer Chest makes a luxurious, classic statement.","188144-1,188144-2,188144-3,188144-4","18""D","42""W","35""H"
188139,MORAND SMALL BEDSIDE CHEST - GREY,Interlude Home,Furniture > Bedroom > Chests,1399,2798,"Featuring sorrel grey sharkskin faux shagreen and antique brass-finished metal hardware, the Morand Small Bedside Chest makes a luxurious, classic statement.","188139-1,188139-2,188139-3,188139-4","18""D","18""W","24""H"
188131,GASPARD LARGE BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,2382,4764,The gorgeous texture of the sisal-wrapped Gaspard Large Bedside Chest brings warmth and organic beauty to a bedroom essential.,"188131-1,188131-2,188131-3","19""D","30""W","30""H"
188120,CASSIAN 3 DRAWER CHEST - BLACK/ BRASS,Interlude Home,Furniture > Bedroom > Chests,2565,5130,"Boasting black hide with clear acrylic pulls and shiny brass accents, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","188120-1,188120-2,188120-3","18""D","28""W","30""H"
155169,CASSIAN BEDSIDE CHEST - BLACK/ BRASS,Interlude Home,Furniture > Bedroom > Chests,2682,5364,"Boasting black hide with a clear acrylic pull and shiny brass accents, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","155169-1,155169-2,155169-3","18""D","26""W","26""H"
155152,JAXON BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,2745,5490,"Natural grey hide brings warmth, depth and texture to the clean lines and simple hardware of the Jaxon Bedside Chest.","155152-1,155152-2,155152-3","18""D","26""W","26""H"
155151,AIDEN BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,2565,5130,Natural grey hide pairs with clear acrylic to make the Aiden Bedside Chest a totally chic addition to any bedroom.,"155151-1,155151-2,155151-3","18""D","26""W","26""H"
128121,CASSIAN BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,2517,5034,"Boasting light natural hide with a clear acrylic pull, the Cassian Bedside Chest brings an unexpected, fabulous twist to a storage staple.","128121-1,128121-2,128121-3","18""D","26""W","26""H"
125920,MIA BEDSIDE TABLE,Interlude Home,Furniture > Bedroom > Chests,1649,3298,"With a midcentury nod, the Mia Bedside Table boasts a fabulous mix of materials thanks to a combination of beach ceruse stained wood, natural cream sisal and glass.","125920-1,125920-2,125920-3",18''D,"28""W","24""H"
125194,CORINNA BEDSIDE TABLE - GREY,Interlude Home,Furniture > Bedroom > Chests,1295,2590,"With its grey wash oak finish, faux linen accents and metal details, the Corinna Bedside Table is simplicity at its most elegant.","125194-1,125194-2,125194-3","24""H X 18""SQ",,
125174,ALLEGRA BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Chests,1658,3316,"At once handsome and graceful, the Allegra Bedside Chest features a natural white faux linen surface and a metal frame in an champagne silver finish.","125174-1,125174-2,125174-3,125174-4","18""D","26""W","26""H"
125148,SAVANNAH BEDSIDE TABLE,Interlude Home,Furniture > Bedroom > Chests,1842,3684,The classical lines of the Savannah Bedside Table get a fresh update when they're realized fabulously in acrylic and glass.,"125148-1,125148-2","18""D","30""W","27""H"
125147,SURREY BEDSIDE TABLE,Interlude Home,Furniture > Bedroom > Chests,3249,6498,"Handsome and commanding, the acrylic and glass Surrey Bedside Table adds terrific contemporary flair to any bedroom.","125147-1,125147-2","18""D","30""W","27""H"
